Periódico,Hipervínculo,Fecha publicación,Titular,Subtítulo,Cuerpo,Categoría,Target
HayNoticia.es,https://haynoticia.es/el-gobierno-decreta-el-estado-de-alarma-por-gilipollas-una-vez-acabado-el-estado-de-alarma-medica/,2020-06-22,El Gobierno decreta el estado de alarma por gilipollas una vez acabado el estado de alarma médica,,"El Ministerio de Sanidad declaró la tarde de ayer mediante rueda de prensa la entrada en Estado de Alarma por Gilipollas tras hablar salido la noche del sábado del Estado de Alarma médico que se declaró el pasado 13 de Marzo.El propio Ministro Salvador Illa ha sido el encargado de anunciar este nuevo Estado de Alarma con la intención de alertar a todos los españoles en ésta situación de Nueva Normalidad. “Es necesario que mantengamos el Estado de Alarma pero esta vez no por el virus en sí, sino porque tenemos que mantenernos en alerta porque en cualquier momento nos podemos cruzar con gilipollas que ni siquiera saben utilizar las mascarillas” explicó el Ministro Illa durante la rueda de prensa.El nuevo Estado de Alarma se mantendrá hasta que al menos se encuentre una vacuna contra el Covid-19 o hasta que se entre de nuevo en un Estado de Alarma médica, cosa más que probable si como se prevé España sufre un nuevo rebrote para Otoño que posiblemente se pueda dar gracias a la pandemia de gilipollas que no hacen uso de la mascarilla que ahora mismo sufre nuestro país.",politica,1
HayNoticia.es,https://haynoticia.es/el-gobierno-recomienda-mascarillas-con-la-bandera-republicana-porque-protegen-mas/,2020-06-16,El gobierno recomienda mascarillas con la bandera republicana porque protegen más,,"El Vicepresidente del Gobierno, Pablo Iglesias, anunció la tarde de ayer mediante una rueda de prensa celebrada desde el Palacio de la Moncloa una serie de medidas con el fin de mejorar la seguridad de los ciudadanos contra el coronavirus en la denominada “Nueva Normalidad”.La recomendación citada por el Vicepresidente del Gobierno que más controversia ha creado entre los asistentes es la de usar mascarillas con la bandera Republicana, ya que según el propio ministro ha citado “Las mascarillas con los colores de la bandera Republicana son hasta un 33% más efectivas que las que llevan la bandera de España”. Iglesias mostró a los asistentes los resultados de un estudio que respalda esta teoría.Dicho estudio, realizado por la Universidad de Barcelona, dice que es muy probable que sea el color morado el responsable de esta gran diferencia, ya que podría repeler mejor el temido COVID-19. No han tardado en llegar las críticas desde otros partidos políticos como VOX que denuncian en su cuenta oficial de Twitter que nadie se ha preocupado en estudiar si el verde, color que representa a su partido, repele mejor el coronavirus o no.",politica,1
HayNoticia.es,https://haynoticia.es/vox-propone-que-se-prohiba-el-sexo-hasta-los-21-anos/,2020-06-06,VOX propone que se prohíba el sexo hasta los 21 años,,"VOX ha presentado una medida en el congreso por la cual se plantearía la posibilidad de prohibir el sexo a menores de 21 años.Ésta medida, que podría aprobarse si VOX contase con el apoyo de Ciudadanos y el Partido Popular, vendría a solventar la problemática Ley del Aborto ya que, según el VOX, al elevar la edad sexual la juventud se pensaría más en tomar medidas para evitar quedar embarazados.  La propuesta ha sido aplaudida por la Conferencia Episcopal que además ha pedido a VOX que añada a la ley la condición de que obligatoriamente la pareja tenga que estar casada para tener sexo para evitar así la promiscuidad.Para evitar conflictos entre los adolescentes u otros colectivos que se puedan ver afectados con ésta nueva ley, VOX ha aclarado que el petting (coloquialmente conocido como magreo) no está reconocido como sexo y por lo tanto sí que estaría permitido.",politica,1
HayNoticia.es,https://haynoticia.es/las-playas-de-cataluna-cobraran-entrada-para-evitar-masificaciones/,2020-05-30,Las playas de Cataluña cobrarán entrada para evitar masificaciones,,"Tras el pleno extraordinario celebrado esta misma mañana en el Parlamento de Cataluña se ha aprobado una de las medidas más impopulares de los últimos tiempos pero, según ciertos sectores, necesaria para garantizar la seguridad de los ciudadanos para evitar un nuevo rebrote del Covid19.La medida, que durará al menos hasta el final del verano, cobrará entrada por el acceso y disfrute  a todas las playas del territorio catalán. El precio por poder acceder a la playa todavía no se ha fijado, pero se estima que rondará 1€ por persona y hora de uso, aunque este precio podría ascender según la provincia o incluso la zona donde esté la playa y los servicios que ésta tenga.Con la medida el Parlament de Catalunya pretende evitar las masificaciones en las playas catalanas durante el verano que supondría poner el grave peligro a los ciudadanos. “No lo hacemos por recaudar como la gente piensa, nuestra intención siempre es garantizar el bienestar y la seguridad de nuestros ciudadanos y los turistas que nos visitan”. ",politica,1
HayNoticia.es,https://haynoticia.es/el-rey-pregunta-si-la-desescalada-terminara-a-tiempo-para-ir-a-veranear-a-palma-de-mallorca/,2020-05-18,El Rey pregunta si la desescalada terminará a tiempo para ir a veranear a Palma de Mallorca,,"La tarde de ayer se celebró en el Palacio de La Zarzuela la reunión de control periódica de información sobre el estado de alarma entre el Rey Felipe VI y el presidente del Gobierno Pedro Sánchez.Durante la celebración de la misma su majestad Felipe IV sorprendió a todos los asistentes cuando éste preguntó a Pedro Sánchez si el confinamiento terminará a tiempo para sus vacaciones en Mallorca como de costumbre hace cada año. Pedro contestó con un rotundo “No es momento de pensar en eso Majestad, la prioridad es la seguridad de los ciudadanos” lo que arrancó los aplausos de la prensa asistente en la reunión.Felipe intentó explicar que el confinamiento se le está haciendo cuesta arriba puesto que no tiene la libertad de movilidad que tenía antes y eso se le está haciendo bastante duro tanto para él como para su familia. Finalmente acabó preguntando al Presidente del Gobierno en qué fase se le permitiría al menos desplazarse a su segunda vivienda ya que cree que estar cerca del mar le ayudaría a pasar de mejor forma éste confinamiento.",politica,1
HayNoticia.es,https://haynoticia.es/espana-vendera-baleares-a-alemania-como-pago-de-la-deuda/,2020-05-16,España venderá Baleares a Alemania como pago de la deuda,,"El Gobierno de España está pensando soluciones para poder hacer frente ante la deuda que el país tendrá que asumir con Europa debido a la crisis causada por el coronavirus. Dicha deuda podría ascender a casi 1.400 billones de euros, o lo que es lo mismo, un 96% del Producto Interior Bruto del país.Como posible medida para poder hacer frente a esta deuda el Gobierno está valorando la posibilidad de poner en venta las Islas Baleares, región por la cual Alemania estaría dispuesta a pagar esa cantidad lo que haría que España eliminara por completo su deuda con Europa. “Tenemos que asumir que nos encontramos en una situación extrema y por lo tanto deberemos buscar medidas drásticas” explica Pablo Iglesias, vicepresidente del Gobierno de España.El plan del Gobierno es vender todas las Islas que componen la Comunidad Autónoma de Baleares salvo Ibiza “Nos quedaremos Ibiza y subiremos el precio de los cubatas, con ésta medida no solo cancelaríamos la deuda sino que además conseguiremos beneficios”",politica,1
HayNoticia.es,https://haynoticia.es/podemos-propone-devolver-a-franco-al-valle-de-los-caidos-para-acabar-con-la-maldicion-del-coronavirus/,2020-05-07,Podemos propone devolver a Franco al valle de los caídos para acabar con la maldición del coronavirus,,"Pablo Echenique, Diputado de Unidas Podemos, ha puesto sobre la mesa en la Asamblea Parlamentaria celebrada esta mañana en el Congreso de los Diputados, la posibilidad de devolver el féretro de Francisco Franco al Valle de los Caídos para ver si de ésta manera se termina con la maldición que está sufriendo España.Según apuntó el propio Echenique “es innegable que desde que se exhumó al Dictador de la Basílica del Valle de los Caídos el pasado mes de octubre nuestro país no está pasando por su mejor momento”. Aunque los expertos advierten que no puede haber ninguna relación entre la exhumación de Franco y la crisis de Coronavirus el Diputado de Podemos sigue defendiendo que sin duda debe de existir una maldición.Pablo Echenique quería devolver el cadáver del dictador a su lugar de origen esta misma tarda ya que según él “Cuanto antes lo hagamos antes podremos salir de ésta”, pero la nueva exhumación deberá ser aprobada por más del 50% de la cámara parlamentaria por lo que de momento tendrá que esperar. El grupo parlamentario VOX ya ha anunciado que se negará a devolver a Franco al Valle de los Caídos a no ser que el mausoleo se haga todavía más grande, como el caudillo merece.",politica,1
HayNoticia.es,https://haynoticia.es/l-as-playas-nudistas-se-abriran-solo-a-hombres-con-menos-de-15-cm-de-pene/,2020-05-05,L as playas nudistas se abrirán solo a hombres con menos de 15 cm de pene,,"A partir de la fase 1 de la desescalada propuesta por el Gobierno para salir del confinamiento que estamos sufriendo por el estado de alarma del coronavirus por fin los ciudadanos podrán visitar las playas. Eso si… los ciudadanos que quieran visitar las playas tendrán que tomar una serie de medidas con el fin de evitar el contagio del temido virus.Una de las medidas es la de tener una distancia de seguridad prudente con el vecino de toalla. Pero los expertos apuntan que era preciso tomar medidas especiales en aquellas playas en las que está permitido acudir sin ropa. “Es un caso especial, ir sin ropa aumenta el riesgo y por lo tanto deberemos tomar medidas más extremas” argumentó durante la rueda de prensa Fernando Simón, Director del Centro de Coordinación de Alertas y Emergencias Sanitarias.El gobierno ha visto a bien prohibir la entrada a las playas nudistas a todos aquellos ciudadanos que su pene mida más de 15 centímetros. “No nos podemos arriesgar a que tengamos un nuevo repunte de contagios, sabemos que esta medida es muy estricta pero también es necesaria”  a lo que se añadió que “además, según nuestros cálculos tampoco serán muchos los españoles afectados por esta medida”.",politica,1
HayNoticia.es,https://haynoticia.es/los-feos-podran-salir-antes-porque-nadie-se-les-va-a-acercar/,2020-05-04,Los feos podrán salir antes porque nadie se les va a acercar,,"Según una publicación realizada a última hora de ayer en el Boletín Oficial del Estado (BOE), los feos también tendrían derecho a poder salir de casa en la llamada fase cero del desconfinamiento que empieza hoy mismo en todo el territorio nacional.El Gobierno, según comentan fuentes cercanas, decidió ayer por la tarde después de una reunión mantenida con el grupo de expertos epidemiólogos que se están encargando de la gestión de la crisis del coronavirus, el que los feos también pudieran salir a la calle sin restricciones ya que según apuntan los expertos “total… si en condiciones normales no se les acercan, ahora mucho menos”.Muchos usuarios no han visto con buenos ojos esta medida al parecerles discriminatoria y  ambigua “¿Quién va a decidir si soy suficientemente feo para poder salir ya a la calle? ¿Cuál es  el nivel de fealdad?” se preguntaba un usuario de Twitter al conocer la medida. Muchos otros usuarios sin embargo la defendían. “A mí me parece muy bien que dejen salir a los feos, muchos gilipollas ya salen así que no veo por qué los feos no van a poder salir”.",politica,1
HayNoticia.es,https://haynoticia.es/los-espanoles-con-patio-tendran-que-compartirlo-con-los-vecinos-por-turnos/,2020-04-23,Los españoles con patio tendrán que compartirlo con los vecinos por turnos,,"Tras mes y medio de confinamiento debido al estado de alarma por el coronavirus, el Gobierno de España se ha visto obligado a tomar una serie de medidas para hacer más llevadera la situación para los ciudadanos.Una de las medidas que el Gobierno ha propuesto es la de compartir los patios y/o jardines que algunos ciudadanos puedan tener en sus casas con aquellos que no lo tienen. Fue el propio Pablo Iglesias, líder de Podemos y vicepresidente del Gobierno de España, quien anunció ésta medida en rueda de prensa. “Estamos viviendo una situación muy difícil y es momento de que seamos solidarios y cedamos nuestros privilegios a aquellos que no los tienen”.La medida entrará en vigor el próximo lunes y aquellos ciudadanos que tengan jardín, patio o incluso balcón deberán cederlo a sus vecinos al menos 6 horas diarias. Si un vecino solicita el uso de jardín a otro y éste se niega podría conllevar una multa de entre 600€ y 3.000€. ",politica,1
HayNoticia.es,https://haynoticia.es/el-primer-hospital-para-tratar-el-coronavirus-en-espana-estara-acabado-en-2036/,2020-02-29,El primer hospital para tratar el coronavirus en España estará acabado en 2036,,"El Ministerio de Obras Públicas del Gobierno de España ha anunciado en una rueda de prensa, llevada a cabo ayer tras la finalización de la reunión del Consejo de Ministros, que ya han empezado las obras del primer Hospital en España dedicado única y exclusivamente para el tratamiento e investigación del coronavirus.Según indicó el propio Ministro de Obras Públicas se prevé que las obras finalicen en el año 2036 porque según dijo “Nos gusta ser realistas y no engañar a la gente, en España se trabaja a un ritmo muy diferente que en otros países y no somos capaces de levantar un Hospital en 10 días como hizo China”. El proyecto está presupuestado en 37 millones de euros pero acabará costando 112 millones debido a los sobrecostes típicos de España, y eso en el mejor de los casos.Además si las peores previsiones se cumplen es muy posible que para esa fecha ya no quede ningún español para poder disfrutar del Hospital puesto que todos habrán muerto ya por el virus, pero el Ministro indicó que no es momento de pensar en eso, lo importante es que las obras han empezado y  lo debemos tomar con optimismo. ",politica,1
HayNoticia.es,https://haynoticia.es/decepcion-en-vox-porque-abascal-no-acudio-a-votar-a-caballo/,2019-11-11,Decepción en VOX porque Abascal no acudió a votar a caballo,,"A pesar de la increíble escalada de VOX en los escaños conseguidos en las Elecciones Generales celebradas ayer, muchos de sus votantes han mostrado su disconformidad ya que esperaban que el líder del partido acudiera a votar de una forma más épica.Han sido miles los votantes del partido que se han quejado en redes sociales de que Santiago Abascal no lo diera todo a la hora de votar. “Yo me lo esperaba entrando al colegio electoral montado en un caballo blanco y vestido únicamente con una bandera de España” comenta uno de los votantes del partido verde.De realizarse de nuevo unas elecciones el partido de Abascal podría perder al menos un 60% de los votos por no acudir a votar a caballo. “Es lo que todos esperamos de él, todavía no ha empezado y ya nos está defraudando. Al final es como los demás políticos, todo son promesas y al final nada de nada”.",politica,1
HayNoticia.es,https://haynoticia.es/el-helicoptero-de-franco-visitara-toda-espana-con-los-restos-del-caudillo/,2019-10-24,El helicóptero de Franco visitará toda España con los restos del Caudillo,,"Dados los datos de audiencia obtenidos con la retrasmisión de la exhumación de los restos de Francisco Franco y dada la expectación creada en el Valle de los Caídos con cientos de seguidores aclamando al dictador el Gobierno ha decidido hacer una gira con el féretro del caudillo por toda España.“Si cuando ganamos el mundial el trofeo visitó toda España esto no podía ser menos” ha argumentado el propio Pedro Sánchez en rueda de prensa. Los restos del dictador viajarán en helicóptero por las principales ciudades españolas antes de ser enterrado en el cementerio de Mingorrubio.“En principio el helicóptero visitará todas las capitales de provincia, pero si vemos que funciona no descartamos llevarlo a otras ciudades secundarias”, según cuentan la “gira” podría durar alrededor de un mes, además se hará una parada especial de 3 días en Barcelona “a ver si así se acaba con el problema catalán”.",politica,1
