Periódico,Hipervínculo,Fecha publicación,Titular,Subtítulo,Target,Cuerpo
El Mundo Today,https://www.elmundotoday.com/2011/01/la-crisis-obliga-a-la-mafia-italiana-a-pegar-a-plazos/,2011-01-30,La crisis obliga a la mafia italiana a pegar a plazos,LA VIOLENCIA DE BAJO COSTE SE INSTAURA COMO TENDENCIA,1,"Las dificultades económicas empiezan a hacer mella en las organizaciones criminales. La Cosa Nostra, concretamente, ha admitido en un comunicado grabado a fuego en la espalda de una víctima de Palermo (Italia) que está llevando a cabo «recortes de plantilla por la vía rápida». Dada la creciente falta de personal, sumada a la necesidad de aceptar encargos de todo tipo -«incluyendo el asesinato de un hámster que sufre o la quema de malas hierbas»-, la efectividad de las acciones criminales está decreciendo hasta el punto de que «no hay tiempo para palizas enteras y tenemos que ir pegando a plazos».
Las informaciones de la mafia cuadran con los datos de las autoridades italianas, que certifican el aumento de personas magulladas que esperan con angustia la segunda, tercera o cuarta fase de la paliza que la mafia les debe. «Primero te dan una bofetada y luego te preguntan qué plan tienes para la próxima semana porque ahora no tienen tiempo para seguir dándote fuerte. Hasta que vuelven, vives instalado en el miedo», se lamenta un testimonio anónimo, que añade que «con las prisas a veces sólo te rocían con gasolina pero no te queman, dejándote el cutis hecho un asco y la ropa ni te cuento».
«La crisis nos obliga a tirar de jóvenes becarios. A veces ni siquiera tenemos para sus sueldos y entonces se enfadan y nos amenazan. Nosotros les mandamos más becarios para intimidarles y se pegan entre ellos hasta caer rendidos. Además, desde que utilizamos bombas de bajo consumo no conseguimos más que asustar a las viejas. En muchos casos nos funciona más fingir que somos bancos o incluso Testigos de Jehová», reconocía por teléfono un representante de la organización criminal.
El ejemplo más llamativo de la violencia de bajo coste es el de un conocido jugador de fútbol italiano al que la mafia persigue desde hace tiempo. «Dejaron un mensaje en mi página de fans del Facebook diciendo que me arrebatarían lo que más quiero. El mismo día, llego a casa y me encuentro con que han entrado en mi cocina y se han comido todos mis Muffins de Kinder Cereali, dejando los envoltorios esparcidos por el suelo», explica el deportista. La víctima reconoce también que atacaron a su familia «bajándose una foto de mi mujer que había en Facebook y añadiéndole bigote con el Photoshop para luego difundir los retoques por Twitter».
"
El Mundo Today,https://www.elmundotoday.com/2011/01/neutrex-no-organizara-mas-viajes-en-el-tiempo-a-causa-de-la-crisis/,2011-01-28,Neutrex no organizará más viajes en el tiempo a causa de la crisis,"LA NEUTREX DEL FUTURO, ATRAPADA EN 2011",1,"Tiene sesenta años pero aparenta veinte porque es del futuro.
Según Neutrex, traer a Josefa resultaba relativamente barato y sencillo: «Sólo tenemos que dejar un post-it en un sitio y asegurarnos de que nadie lo toque. Y entonces los trabajadores del futuro ya nos la envían». El problema, por supuesto, es devolver a Josefa a 2073. «Para entonces, los viajes en el tiempo ya los tienen más por la mano, hoy en día es muy complicado y muy caro. Hemos tenido pérdidas muy grandes por culpa de los dichosos anuncios».
Josefa ha viajado en el tiempo en tres ocasiones, para rodar dos spots y para asistir a una feria de muestras el pasado enero. Ahora no queda dinero para devolverla a 2073, como hicieron las dos veces anteriores. «Es un poco decepcionante que para ser del futuro se llame ‘Josefa’ pero se ve que en unos años el nombre se pondrá muy de moda. Lo de Massachusetts sí que no sé por qué es. En fin, cosas del futuro», explicaba Sanfrán.
Por su parte, Josefa ha empezado a buscar trabajo de modelo pero, dada su avanzada edad, no la quieren contratar en ningún sitio. «Yo tengo sesenta años, pero es que en el futuro las mujeres de sesenta años parece que tengamos veinte, así que no sé por qué no me contratan», se queja. «De todos modos, vivir en 2011 no está tan mal, los sueldos están muy bien comparados con los que cobramos en mi tiempo».
«No podemos seguir haciendo anuncios de ese tipo. Hemos jugado a ser Dios con la naturaleza y nos ha salido caro», insistía Ricardo Sanfrán. Después de que uno de los periodistas le preguntara por qué no usaron a una modelo actual y «establecieron la ficción» de que provenía del futuro en vez de traer a una modelo de 2073, el empresario se quedó callado limitándose a mirar a su jefe de marketing. Mientras tanto, Josefa sigue atrapada en un mundo al que no pertenece. La solución que le han dado desde la compañía es la de «esperar».
"
El Mundo Today,https://www.elmundotoday.com/2011/01/las-bajas-temperaturas-obligan-a-los-espanoles-a-abrazar-a-sus-esposas/,2011-01-27,Las bajas temperaturas obligan a los españoles a abrazar a sus esposas,HA HABIDO ABRAZOS DE MÁS DE DIEZ MINUTOS CON SUSURROS AL OÍDO,1,"Tal y como advertía hace unas semanas la Agencia Estatal de Meteorología (Aemet), el frío que azota en estos momentos la geografía española está obligando a muchos ciudadanos a abrazar fuertemente a sus esposas para entrar en calor. La mayoría de las veces es la mujer la que exige el contacto corporal -en casos extremos, sin ropa de por medio- pero el Gobierno ha detectado también situaciones dramáticas en las que el propio marido es quien toma la iniciativa empujado por la crudeza del clima. «El ser humano prima la supervivencia. Arrimarse a un cuerpo de más de 150 kilos es una buena opción ante cotas de nieve de 500 o 700 metros como las que se están dando en la mitad norte peninsular», explicaba esta mañana un portavoz de la Aemet.
Muchas ciudades del país ofrecen ahora un paisaje insólito: parejas de todas las edades pasean temblorosas por la calle y se abrazan fuertemente generando una falsa sensación de cariño. «Las productoras de publicidad se han lanzado a la calle a grabar recursos de parejas españolas queriéndose. Recrear esas escenas con actores es mucho más costoso y quién sabe cuánto durará el frío», declaraba un transeúnte en Madrid.
El Observatorio de la Mujer ha advertido del peligro que supone para las españolas buscar el contacto corporal con la pareja. «Estamos hablando de conductas de riesgo que podrían derivar en coito», alerta la entidad en un comunicado. La misma nota informa de que en breve se repartirán mantas y calefactores en las zonas donde se detectan más abrazos entre personas. Tampoco se descarta reunir a las mujeres con frío en polideportivos para que se abracen entre ellas «dejando la masculinidad al margen».
El Gobierno no ha tardado en consultar el asunto con los países nórdicos, donde estas situaciones tienen lugar muy a menudo. «Su respuesta ha sido clara: no existen panaceas. De hecho, nos han recordado lo alto que es su índice de suicidios», reconocía Alfredo Pérez Rubalcaba. El ministro recomienda a los padres que controlen a sus hijos «porque en estos momentos alguien podría querer abrazarles también, especialmente sus abuelos».
"
El Mundo Today,https://www.elmundotoday.com/2011/01/encuentra-a-wally-buscando-el-punto-g/,2011-01-27,Encuentra a Wally buscando el punto G,SE ESCONDÍA EN LOS GENITALES DE SU ESPOSA,1,"Aunque lamenta no haber encontrado el punto G, Cristian afirma que “es mucho peor ignorar que en la vagina de tu esposa hay un tío con bastón haciendo su vida”. La mujer, por su parte, asegura que desconocía la presencia de Wally “aunque es verdad que notaba como unas cosquillitas”.
El hallazgo de Wally en una zona tan comprometida de la anatomía femenina ha puesto en jaque la estabilidad del matrimonio cordobés, por mucho que la señora Cerezo argumente que “esto no se puede considerar infidelidad porque yo no lo busqué ni me lo metí allí ni nada”. Cristian Cerezo sospecha que la presencia del personaje se debe a que los genitales de su esposa “han estado en contacto con los libros” y se siente defraudado “por haberme enterado así, por casualidad”.
No es la primera vez que Wally aparece en sitios inadecuados. En 1993, un testigo aseguró que lo había visto en unas fotografías de los campos de concentración de Auschwitz “sonriendo en medio de todo el fregao”. Aunque siempre se habían considerado falsos los avistamientos, el suceso de ayer ha reabierto el debate.
"
El Mundo Today,https://www.elmundotoday.com/2011/01/el-gobierno-traslada-a-lourdes-la-sede-del-ministerio-de-economia/,2011-01-25,El Gobierno traslada a Lourdes la sede del Ministerio de Economía,"""UN MILAGRO ECONÓMICO ES POSIBLE"", DECLARA ELENA SALGADO",1,"Tras una larga negociación con Francia, el Gobierno de España ha conseguido cerrar un acuerdo para trasladar la sede principal del Ministerio de Economía a Lourdes, muy cerca del santuario al que cada año acuden miles de católicos en busca de un milagro. «Dada la situación actual de la economía española, hemos decidido agarrar el toro por los cuernos y adoptar medidas que favorezcan la pronta recuperación de nuestras finanzas», explicaba esta mañana la ministra Elena Salgado en una rueda de prensa.
Con la idea de que «el milagro económico es posible», los empleados de la sede ministerial serán trasladados al Centro de Acogida Notre Dame, donde se alberga a enfermos y discapacitados, hasta que se haya construido el nuevo edificio del Ministerio, que diseñará el arquitecto Santiago Calatrava. «Pienso en un edificio de color blanco, el color del optimismo, y con formas puntiagudas que transmitan fortaleza. No sé por qué pero siempre acabo en lo mismo», confiesa Calatrava.
El líder de la oposición, Mariano Rajoy, pide coherencia y propone que se sustituya a la ministra por la Virgen de Lourdes «y así de paso nos ahorramos las dietas y los chóferes».
Pese a las críticas de algunos analistas que aseguran que la medida cuestiona la separación entre Iglesia y Estado, José Luis Rodríguez Zapatero afirma que «hay que transmitir confianza y además un familiar mío tenía muchos problemas de huesos y fue a Lourdes y dejó de experimentar molestias». Ello prueba, según el mandatario, que «sería una irresponsabilidad no aprovechar el santuario teniéndolo tan cerca, siendo además una decisión histórica que nos convierte en los primeros en tener un Ministerio en otro país».
El cambio de sede ha sido recibido con indignación por parte de numerosos funcionarios, que consideran insuficientes las promesas de Zapatero, que afirma que el traslado les librará para siempre de la enfermedad. Son también muchos los ciudadanos que sugieren que la sede de la Agencia Tributaria debería trasladarse a Siberia, incluyendo a todos los inspectores.
"
El Mundo Today,https://www.elmundotoday.com/2011/01/una-banda-de-ninas-organizaba-peleas-ilegales-de-ponys/,2011-01-24,Una banda de niñas organizaba peleas ilegales de ponis,LUCHABAN ENTRE ELLOS ENVUELTOS EN PURPURINA,1,"Antes de lanzarlos al ruedo, las niñas embadurnaban a los ponis con aceite y purpurina. El aceite hacía que los animales resbalaran y les resultara más difícil desgarrarse unos a otros. La finalidad de la purpurina no era otra que hacer más bonitos los charcos de sangre que acababan cubriendo todo el recinto. «Así todo brilla y parece como de magia», apuntaba una de las niñas. Algunos ponis iban disfrazados de unicornios con cuernos artificiales para causar más daño al rival.
Para poder asistir a las peleas, las niñas espectadoras debían pagar 15 nubes de caramelo. A través de cartas de olor se anunciaba la fecha de los encuentros, cuáles serían los ponis que pelearían y el monto de las apuestas que se podían realizar. El favorito era siempre un macho llamado «Princesa Missy», un ejemplar cubierto de cicatrices que logró la fama debido a su costumbre de rematar a sus víctimas arrancándoles la piel a dentelladas. Las niñas hacían cola para hacerse fotos con él después de las peleas.
La Guardia Civil donará los animales incautados, Princesa Missy entre ellos, a una peña rociera que asegura que los tratará con dignidad hasta que llegue el momento de que mueran por extenuación en la romería de este año.
"
El Mundo Today,https://www.elmundotoday.com/2011/01/bin-laden-reaparece-en-un-video-exhibiendose-con-varios-peinados/,2011-01-21,Bin Laden reaparece en un vídeo exhibiéndose con varios peinados,"APROVECHA PARA INSULTAR ""A LOS QUE ME CRITICAN POR INTERNET SIN TENER NI IDEA""",1,"Tras un considerable periodo de silencio, Al Quaeda ha vuelto a difundir un vídeo de Bin Laden en el que, lejos de las habituales amenazas, se dedica a mostrar fotos de sí mismo con varios looks y se dirige a los internautas que le critican. «Me hacéis gracia por patéticos los acomplejados que me criticáis por criticar en los blogs, que sepáis que no tenéis ni idea y mejor será que os metáis en vuestras tristes vidas y no en las de los demás», exclama.
Según la cadena Al Jazeera, receptora de la grabación, parece que el líder terrorista está mucho más preocupado por sí mismo que por la guerra santa. «Cuando vives perseguido tienes que acostumbrarte a cambiar continuamente de imagen y al final es como un vicio. He llevado muchos tipos de barba, aquí tenéis varias fotos. Me dejé flequillo hace dos meses también, no sé qué opinaréis. Mis seguidores creen que estoy bien de cualquier manera, pero tampoco es eso. Me da igual lo que se lleve en Occidente, el islam te enseña a ser tú mismo siempre, ¿que no?», declara Bin Laden.
Tras la exhibición de peinados, túnicas y complementos, Bin Laden sigue insistiendo con algunas reflexiones personales «sobre la gente que deja comentarios en los foros sobre mí y sobre Al Quaeda». Confiesa que ya está «harto de callarme cuando se nos insulta por mucho que los que lo hagan sean cuatro niñatos americanos con la cara llena de espinillas». También se muestra rencoroso con los montajes fotográficos que circulan en Internet sobre su persona y afirma que «mientras unos cuelgan en Facebook trucos baratos hechos con Photoshop yo me dedico a cambiar las cosas de verdad, lo cual entiendo que dé mucha envidia a los que no tienen nada de lo que presumir. Fíjate que, aparte de lo de las torres y tal, yo hice que los relojes Casio triunfaran de nuevo entre los modernos. Incluso los que me odian tendrían que callarse la boca y aceptarlo».
El vídeo concluye con breves proclamas antiamericanas y con un consejo para los islamistas: «No os dejéis influir por lo que digan de vosotros. Valéis mucho y el día en que entendáis esto la gente lo notará por fuera. Olvidad los complejos, fuera reparos, no sigáis modas porque explorando vuestro propio camino será la moda la que os seguirá a vosotros. Y pasad de los comentarios anónimos de la gente en Internet».
"
El Mundo Today,https://www.elmundotoday.com/2011/01/la-filarmonica-de-viena-interpretara-los-exitos-de-paco-pil/,2011-01-19,La Filarmónica de Viena interpretará los éxitos de Paco Pil,LA MÚSICA CLÁSICA SE INTERESA POR EL TECNO-SKA,1,"La Orquesta Filarmónica de Viena ha contactado con la discográfica Max Music para solicitar las partituras de algunos de los grandes éxitos del músico español Francisco Valero, más conocido como Paco Pil. Autor de himnos generacionales como «Viva la fiesta», «Johnny Tekno-Ska» o «Estoy jodío», Pil podría convertirse en el primer cantante y DJ de España en ver adaptada su música con secciones de viento y cuerda.
«Me flipa que lo mío interese en Asia, la verdad, pero igualmente lo agradezco un huevo», ha declarado el compositor. Los responsables de la orquesta más reputada del mundo esperan hallar en las partituras de Paco Pil «los aspectos esenciales de la composición sonora que permiten el maridaje entre tendencias musicales aparentemente incompatibles».
La discográfica de Paco Pil explica que no dispone de las partituras que les han pedido desde Austria «porque el proceder de Pil es más bien anárquico, él siempre ha entendido la música como un continuo devenir de impulsos que no puede fijarse ni traducirse visualmente, como también pensaba Platón». Pese a todo, el artista cree que tiene «buena mierda» para que la orquesta «se lo monte más o menos guay con lo mío».
Con la ayuda de Max Music, Paco Pil pretende que la filarmónica «se venga al continente y toque en el ‘Purple Pipol’, que es un garito que un colega mío acaba de abrir en Valencia». Las dimensiones del local dificultarían la presencia de todos los músicos, por lo que quizá sería necesario realizar una segunda adaptación de las partituras. «Estamos esperando respuesta por parte de la filarmónica. Les hemos adjuntado fotografías del ‘Purple Pipol’ para que vean que hay moqueta, barra y todo lo necesario», insisten desde la discográfica.
Empujados por la iniciativa de los vieneses, otros representantes de la música electrónica española intentan acercar posturas con el clasicismo. Chimo Bayo, por ejemplo, está ultimando su «Composición número VI para Casio y tío guay» con el objetivo de legitimarse también como compositor.
"
El Mundo Today,https://www.elmundotoday.com/2011/01/hackean-la-web-del-pentagono-para-cambiar-una-coma/,2011-01-18,Hackean la web del Pentágono para cambiar una coma,EL ASALTANTE LLEVABA AÑOS CORRIGIENDO DOCUMENTOS CLASIFICADOS,1,"Todas las alarmas saltaron ayer por la noche cuando se descubrió que alguien había accedido al editor de la web del Pentágono violando las contraseñas de seguridad. Tras analizar el alcance de la intrusión, las autoridades estadounidenses concluyeron que sólo se había modificado uno de los textos explicativos de la página, relativo a las visitas guiadas, el cual tenía originalmente una coma mal puesta.
Hace apenas dos horas, el intruso ha sido detenido y ha corroborado que el objetivo del ciberataque no era otro que «enmendar este terrible error gramatical que ofendía a los americanos y ofrecía una imagen pésima». El arrestado alega también que había solicitado «reiteradamente, con educación y por correo electrónico» que alguien corrigiera el error. Como no obtuvo respuesta, decidió pasar a la acción. «Sabemos que llevaba años actuando en secreto, corrigiendo faltas de ortografía y de expresión en documentos clasificados. Incluso cambió el apellido del verdadero asesino de Kennedy porque estaba mal escrito», explica un portavoz del Pentágono.
El propio Barack Obama ha asegurado que el ciberataque es «una afrenta gravísima que demuestra que hay que reforzar la seguridad del Pentágono pero sobre todo mejorar la calidad ortográfica y gramatical de los informes secretos. Que los lean cuatro privilegiados no quiere decir que podamos pasar de todo, escribir con mala letra y olvidarnos del diccionario». El mismo hacker ha insistido en que «tardaron años en escribir bien el nombre de Bin Laden, por no hablar de Mohamed Atta. A veces escribían el nombre con dos emes, a veces con una, y tardé mucho en uniformizarlo todo sin ser descubierto. Me pareció también de mal gusto que incluyeran emoticonos en los informes del 11-S y por eso los eliminé».
Aunque lamenta haber sido atrapado a raíz de una corrección tan insignificante como la de una coma mal puesta, que «no hace justicia al trabajo que llevo años haciendo en la sombra», el atacante afirma que lo que más le preocupa ahora es que nadie supervise «con el debido cariño» la ortografía de los documentos secretos.
A raíz de lo ocurrido, el periodista Julian Assange, responsable de Wikileaks, ha asegurado que muchos de los documentos que filtró desde su página web «estaban repletos de redundancias, expresiones vulgares y a veces tenían también manchas de café». Obama promete que «nuestro lenguaje en la sombra será impecable aunque tenga que revisarlo todo yo personalmente».
"
El Mundo Today,https://www.elmundotoday.com/2011/01/dodot-lanza-tangas-absorbentes-para-bebes/,2011-01-17,Dodot lanza tangas absorbentes para bebés,AL FIN PODRÁN USAR VAQUEROS CEÑIDOS,1,"Arbora & Ausonia, fabricante de los productos Dodot, va a tratar de revolucionar el mercado de los pañales para bebés con el lanzamiento del Dodot Tangbaby, un nuevo artículo que, según la marca, hará que la torpe y rechoncha silueta de los bebés con pañal sea cosa del pasado. “Una nueva generación de materiales súper absorbentes logra la máxima velocidad de absorción del pipí y nos ha permitido reducir el tamaño del pañal tradicional hasta llegar al tanga”, explica Dodot en una nota de prensa.
En la misiva se hace especial hincapié en el ahorro de celulosa que suponen los nuevos tangas: «Con la cantidad de celulosa que antes usábamos para un único pañal ahora podemos fabricar casi 20 tangas». Se recalca también que los bebés padecerán menos rozaduras y se sentirán más cómodos con su cuerpo. «En pleno siglo XXI no podemos permitir que la estética deje de lado a los más pequeños, que también tienen derecho a lucir tipito».
Los fabricantes de vaqueros no han tardado en aplaudir la iniciativa de Dodot. «Al fin podremos fabricar pantalones sexis para bebés. Hasta ahora teníamos que hacerlos culones y no favorecían, lo cual no sólo es lamentable para ellos sino también para nuestra imagen de marca», comenta el portavoz de Levi’s en España. «Los haremos de tiro bajo por si los más atrevidos quieren enseñar la tira del slip».
Desde Dodot también han anunciado que pretenden fabricar tangas para abuelos incontinentes. El departamento de marketing está estudiando la viabilidad económica de la propuesta.
"
