Periódico,Hipervínculo,Fecha publicación,Titular,Subtítulo,Target,Cuerpo
El Mundo Today,https://www.elmundotoday.com/2012/03/verbatim-presenta-su-disco-regrabable-mas-personal/,2012-03-27,Verbatim presenta su disco regrabable más personal,NaN,1,EtiquetasCD-RW 12xdiscoLo mejor de 2012músicapirateríapresentaciónVerbatim
El Mundo Today,https://www.elmundotoday.com/2012/03/inventan-un-robot-que-pide-en-el-metro/,2012-03-26,Inventan un robot que pide en el metro,SE USARÁ PARA RECAUDAR FONDOS PARA ESTUDIOS CIENTÍFICOS,1,"Investigadores japoneses de la Universidad de Osaka presentaron el sábado un robot humanoide especialmente programado para pedir limosna en el metro. Para ello, el Donsimon 3000 es capaz de expresar emociones y soltar un increíble relato de degradación personal cada vez que cambia de vagón. «Le hemos implantado recuerdos de una vida anterior, de modo que, si te pones a hablar con él, enseguida te suelta la chapa de que había sido director de una empresa, que su mujer le dejó… Todo muy creíble. Aunque solo tiene dos meses de vida, él cree que tiene cincuenta años y tres niños a su cargo. También es alcohólico… o eso cree», explica el ingeniero a cargo del proyecto.
Como no querían conformarse con el hecho de que extendiera la mano y soltara un discurso, el Donsimon 3000 es el primer robot capaz de sentir vergüenza. Durante la demostración, el androide -con un aspecto desaliñado y vestido con pantalones de táctel y una vieja camiseta de las Tortugas Ninja- explicó a voz en grito a los periodistas que tiene tres hijos a su cargo y que lamenta verse en esa situación, pero que lo hace por necesidad. Al acabar su convincente discurso fue paseándose entre los presentes alargando una mano temblorosa mientras susurraba, con una divertida voz de 8 bits, «por favor, por favor, gracias, gracias, Dios se lo pague». Los periodistas allí presentes se sintieron tan incómodos que tuvieron que fingir que estaban enfrascados en sus notas o que dormían.
En el caso remoto de que hubiera una guerra nuclear, el androide tendría autonomía para seguir vendiendo La Farola durante 200 años.
«Para que se sienta tan mal lo único que tuvimos que hacer fue instalarle Windows Vista»
«Instalándole Windows Vista no solo conseguimos que se sienta un desgraciado sino que sea incapaz de conseguir un trabajo y escalar socialmente», explica el ingeniero. «No podemos predecir qué ocurriría si un robot alcanzara puestos de influencia, por eso hemos apostado por crear un androide que pide en el metro: nadie hace caso a la gente que está en esa situación, sean personas, rumanos o robots. Además, todo lo que recauda lo usamos para financiar investigaciones».
El equipo está trabajando también en un robot con síndrome de Diógenes que busca en la basura y vive rodeado de gatos. Gatos también robóticos que huelen mal y molestan a los vecinos con el ruido.
"
El Mundo Today,https://www.elmundotoday.com/2012/03/una-adolescente-embarazada-acaba-a-tiros-con-la-ciguena/,2012-03-26,Una adolescente embarazada acaba a tiros con la cigüeña,SE ESTUDIA INCLUIR FOTOS DE LA CIGÜEÑA EN LAS CAJAS DE PRESERVATIVOS,1,"La cigüeña ha sido abatida esta mañana en Cantabria mientras regresaba a París tras el reparto nocturno de recién nacidos. La autora del asesinato es Andrea M., una joven embarazada que ya había amenazado en varias ocasiones con hacer «cualquier cosa» para no tener que asumir su maternidad. Días atrás, en su cuenta de Facebook, colgó fotos y mensajes dejando muy claras sus intenciones. Finalmente, robó la escopeta de caza de su padre y acribilló a la emblemática ave aprovechando una parada técnica en el campanario de la iglesia de Santa María de Lebeña. 
Las asociaciones antiabortistas Derecho a Vivir (DAV), Hazte Oír, Médicos por la Vida y Grupo Provida han emitido un comunicado lamentando «este atentado a la vida» y exigiendo al Gobierno que actúe para evitar más crímenes. En estos momentos, se están llevando a cabo los trámites necesarios para la repatriación del cadáver de la cigüeña, cuyo féretro será recibido en la Basílica de San Pedro, en Roma, por miles de fieles de todos los países.
La portavoz del Gobierno, Soraya Sáenz de Santamaría, ha asegurado que «haremos todo lo posible para detener este horror». Se ha referido directamente a la contratación de escoltas «que protejan a la nueva cigüeña mientras esté de servicio en territorio español», recurriendo si es necesario a efectivos del Ejército del Aire. La decisión no ha tardado en dividir a la opinión pública, pues muchos consideran que «si se invirtiera en educación sexual no sería necesario proteger a la cigüeña. En vez de esto, el Gobierno prefiere destinar el dinero al Ejército», en palabras del portavoz de Izquierda Unida en el Congreso, José Luis Centella. Sáenz de Santamaría recuerda que «han muerto 15 cigüeñas en lo que llevamos de año, 6 de ellas en España. Hay que tomar medidas efectivas a corto plazo».
Fotos de la cigüeña en las cajas de condones
El Gobierno también ha anunciado su intención de obligar a los fabricantes de preservativos a incluir fotografías de cigüeñas muertas en las cajas de condones, una medida que no todos los expertos ven con buenos ojos porque se cree que podría generar rechazo a los preservativos, pero no al sexo en sí mismo. «La sociedad ha dado la espalda a la cigüeña, que solo se siente segura en los campanarios de las iglesias», explica Monseñor Cifuentes, asesor de la Conferencia Episcopal. «Hay que sustituir las antenas de telefonía móvil que colonizan los tejados de nuestras ciudades por nidos de cigüeñas. Menos móviles y más cigüeñas, este es el mensaje que debemos transmitir a la juventud».
"
El Mundo Today,https://www.elmundotoday.com/2012/03/cierra-un-minibar-por-huelga-de-minicamareros/,2012-03-23,Cierra un minibar por huelga de minicamareros,SE RESPETARÁN LOS SERVICIOS MINIS,1,"El minibar de la habitación 230 del Hotel Santo Eladio de San Sebastián ha tenido que cerrar sus puertas esta mañana a causa de la huelga de minicamareros que se anunció ayer a través de un post-it a la dirección del establecimiento. «Llevaban meses quejándose de sus minisueldos y al final la rabieta ha estallado», explica Dolores Nájera, relaciones públicas del hotel. 
Aunque admite que los sueldos son reducidos, Nájera asegura que muchos clientes dejaban propinita. «Si acercas la oreja al minibar les oirás decir que con la crisis han bajado las propinitas. Pero es un problema global que nos afecta a todos», argumenta. La dirección del hotel teme que las protestas se extiendan a otras habitaciones «porque los minicamareros están intentando ganarse el apoyo del servicio de limpieza, que pasa información de una habitación a otra». También ha condenado «el lanzamiento de botellines molotov contra la moqueta, dejando manchas que luego cuestan de sacar».
La huelga, que Dolores Nájera insiste en llamar «problemita», estalló cuando un niño de tres años que se hospedaba en la habitación 230 se hizo con las llaves del minibar y empezó a jugar con los botellines y los minicamareros «como si fueran piezas de Lego». El minibarman fue agitado violentamente y sigue aquejado de fuertes mareos. Asimismo, varias bolsitas de almendras fueron abiertas y su contenido se dispersó por toda la habitación, provocando pérdidas valoradas en varios céntimos de euro. El incidente, conocido ya como «el jueves negro», acabó de minar la moral del personal del minibar, que desde entonces se niega a servir a sus clientes «hasta que dejemos de ser niminiminimileuristas». 
Se respetarán los servicios minis
La dirección del Santo Eladio ha asegurado que se respetarán los servicios minis. Pese a ello, los clientes a los que se asigna la habitación 230 son debidamente informados «de los chilliditos y los golpecitos que pueden oírse por las noches, en el punto álgido de las protestas, especialmente si se tiene el oído muy fino».
"
El Mundo Today,https://www.elmundotoday.com/2012/03/la-vi%c2%aa-cumbre-de-las-americas-reunira-a-los-principales-lideres-latinoamericanos-y-estara-muy-padre-de-verdad-lean-esto/,2012-03-23,La VI Cumbre de las Américas reunirá a los principales líderes latinoamericanos y estará muy padre de verdad lean esto¡¡¡!!!,ESTARÁ REQUETECHINGÓN,1,"Los días 14 y 15 abril en Cartagena se celebrará la Sexta Cumbre de las Américas, donde los principales jefes de Estado y de Gobierno de toda América abordarán el tema «Conectando las Américas: Socios para la Prosperidad», centrado en el rol de la cooperación regional como medio para alcanzar mayores niveles de desarrollo y superar desafíos clave trabajando conjuntamente. La cita de Cartagena ofrecerá la oportunidad a estos países de definir conjuntamente una agenda. 
«Platicaremos calmadamente sobre muchos temas y sostendremos todos los conversatorios que hagan falta porque en la coyuntura actual hay que buscar medidas solventes que nos hagan machos», explicaba hace poco el presidente ecuatoriano Rafael Correa.
En la última cumbre, celebrada en 2009 en Trinidad y Tobago, se llegaron a diversos acuerdos de cooperación y todos los líderes quedaron muy satisfechos «de la juntada». Los comentarios de los diversos presidentes y primeros ministros al finalizar la cumbre fueron, en su mayoría, entusiastas: «Esperemos que haya muchas mas saludos XD», «¡Qué chimba! «, «ke me hace reir weon», «Locoooo, es la neta ok adios» y «gracias por su aporte +10».
La cumbre culminó con todos los mandatarios viendo un vídeo de YouTube titulado «El gordo se partió la jeta XD». Respecto a la cumbre que tendrá lugar en abril, uno de los temas que ya ha levantado ampollas es la ausencia de Cuba, cuya asistencia ha sido boicoteada por Estados Unidos. Sobre este tema, Barack Obama solo se ha pronunciado con un escueto «LOL I TROL U».
"
El Mundo Today,https://www.elmundotoday.com/2012/03/estudiante-de-bellas-artes-revoluciona-un-local-de-dominos-pizza-con-su-pollock-4-quesos/,2012-03-22,Estudiante de Bellas Artes revoluciona un local de Domino’s Pizza con su «Pollock 4 quesos»,DESCUENTO DE 2X1 SI SE RECOGEN EN EL LOCAL,1,"Ernest Surinyac, estudiante en Bellas Artes de 33 años, lleva solo dos semanas trabajando en un local de la cadena Pizza Domino’s y ya ha conseguido que sus pizzas sean reconocidas como únicas por muchos de sus clientes. Surinyac llevaba dos años buscando trabajo y, al fin, ha encontrado un empleo como cocinero en la cadena de pizzerías.
«Estoy muy contento porque al fin puedo dedicarme a lo que me gusta, dando rienda suelta a mi creatividad y mis pulsiones interiores», explica mientras estira, con soltura, la masa de una pizza sobre la superficie de aluminio del mostrador. Tras esto, empieza a dar rienda suelta a lo que él llama «expresionismo abstracto parmigiana» y tira virutas de 4 quesos distintos, combinando colores, sabores y aromas sobre la masa a modo de lienzo. «Luego el horno termina de configurar la obra y al sacarlo surge la presencia indudable de toda la tradición pictórica, cobrando vida en sí misma», dice.
La pizza resultante recuerda poderosamente a cualquier obra del norteamericano Jackson Pollock, famoso por sus cuadros de gran formato configurados a base de salpicaduras de pintura.
Al menos diez críticos de arte han acudido al local en el que trabaja Surinyac. «Y no han dejado ni los bordes», comenta el artista, que considera que su trabajo es autobiográfico en alguna medida. «Al fin y al cabo mi obra son pizzas y hago pizzas por trabajo; por tanto sí, mis obras reflejan mi entorno inmediato, porque son pizzas y yo, a nivel personal, trabajo en una pizzería y es algo importante para mí llevar dinero a casa», explica. Por órdenes del gerente, Surinyac solo dispone de 3 minutos para hacer cada pizza y debe gastar la menor cantidad posible de ingredientes.
«Sucede algo intrigante: ves la pizza y ves la pintura»
Abigail López, gestora cultural, está preparando una retrospectiva sobre la obra de Surinyac. «Me interesa la naturaleza efímera de su obra: son pizzas que aguantan bien 20 minutos, pero que si el repartidor llega tarde ya no valen nada porque el queso se endurece, aunque con un golpecito de microondas te las puedas comer al otro día para desayunar», explica. «Con su obra sucede algo intrigante: vemos la pizza y vemos la pintura. Te deleitas entre el colesterol y la interpretación de la imagen y se establece cierta paradoja entre la simetría y la diversidad azarosa del queso… Yo siempre la pido con doble de queso para que Surinyac pueda expresarse a gusto».
Surinyac nos muestra el inagotable movimiento del color y el queso en consonancia con unos aromas inconfundibles a comida rápida, dinámica evocación de la inestabilidad de toda realidad percibida. El artista, o pizzero, utiliza una particular iconografía visual caracterizada por manchas de color y salami que configuran un mundo onírico y personal que no es más que un reflejo de los miedos y pasiones que mueven y configuran al ser humano contemporáneo, tan inclinado a dejarse llevar por ofertas de bebida con cada menú familiar.
El autor y gastrónomo, a quien la pizza ya se le está quedando pequeña, dice que está empezando a explorar los límites del pan de ajo. «Sobre todo porque el mes que viene lanzaremos una promoción en la que regalamos pan de ajo por cada pedido de dos o más pizzas medianas, así que tendré que empezar a ver qué posibilidades ofrece ese soporte», dice. «He tenido suerte, cuando pienso en otros compañeros de mi universidad que no han conseguido trabajo de lo suyo me deprimo».
"
El Mundo Today,https://www.elmundotoday.com/2012/03/microsoft-presenta-un-nuevo-programa-para-la-lavadora/,2012-03-21,Microsoft presenta un nuevo programa para la lavadora,CUELGA LA ROPA EN CUESTIÓN DE SEGUNDOS,1,"Las grandes compañías tecnológicas diversifican su oferta para reforzarse en tiempos de crisis. Es el caso de Microsoft, que mientras prepara el lanzamiento de Windows 8 el próximo mes de octubre ha decidido probar suerte en otro ámbito para el que hasta ahora no había desarrollado ningún sistema operativo: el sector de la limpieza doméstica. 
«En pleno siglo XXI, es increíble lo que se tarda en cargar una lavadora. Y lo tedioso que resulta clasificar la ropa por colores o tejidos. Por eso hemos creado Windows Laundry» explica un portavoz de la multinacional, admitiendo que «no tenemos experiencia en el sector de la limpieza pero nuestro reproductor de música Zune ha triunfado como reloj para la cocina y se usa de posavasos en multitud de hogares». El nuevo programa hace que la ropa se cuelgue sola sin que el usuario tenga que hacer nada y es compatible «con todas las lavadoras y detergentes de Microsoft». 
Empleando la tecnología Wi-Fi, las lavadoras que tengan instalado el sistema Laundry se conectarán remotamente con cualquier ordenador con Windows. El usuario podrá controlar el proceso a distancia, etiquetar calcetines para emparejarlos fácilmente e incluso chatear con otras personas que estén poniendo una lavadora en ese momento para compartir sus vivencias. Sincronizándose con el calendario de Outlook, la lavadora avisará por correo electrónico al usuario de que «el próximo miércoles tienes una reunión a las diez para la que querías ponerte la camisa de franela gris». Si la camisa en cuestión no está dentro de la lavadora con la antelación requerida, sonará una alerta. Y si la prenda no cabe porque el bombo está lleno, a través de un sistema de compresión se liberará espacio automáticamente.

Palomino ayudará al usuario durante todo el proceso
Emulando al famoso Clipo, el asistente de Microsoft Office, el programa Laundry dispone de un simpático personaje llamado Palomino: una mancha marrón con patas que asesora y emite comentarios como «Parece que está intentando eliminar una mancha de carmín comprometida. ¿Necesita ayuda?» o «Estos calcetines tienen un tomate del tamaño del agujero de la capa de ozono. ¿Está seguro de que no quiere enviarlos a la papelera de reciclaje?».
El nuevo Microsoft Laundry estará disponible el próximo mes de junio y se ofrecerá en tres versiones: Home, Academy (para pisos de estudiantes) y Professional (para tintorerías).
"
El Mundo Today,https://www.elmundotoday.com/2012/03/un-jubilado-dara-la-vuelta-al-mundo-con-el-pensamiento/,2012-03-20,Un jubilado dará la vuelta al mundo con el pensamiento,PROMETE ENVIAR CARTAS CON DIBUJOS DE LO QUE VAYA VIENDO,1,"Anatalio Sánchez-Cadenas, de 81 años de edad y residente en un geriátrico de Badajoz, ha anunciado esta mañana su intención de dar la vuelta al mundo con sus propios medios y empleando la imaginación como único método de transporte. El anciano asegura que, desde hace años, se siente «aparcado en la cuneta de la vida» y tiene muchos deseos por cumplir. «Cuando era joven no pude viajar y siempre he querido conocer otras gentes, otras culturas, otras formas de vida. Mi cuerpo ya no me acompaña, pero por suerte mi mente está en perfecto estado de forma para emprender un viaje de estas características», declara el anciano. 
Anatalio rechaza los consejos de sus familiares, que le dicen que lea a Julio Verne, porque le cuesta centrar la mirada en el texto y quiere «viajar sin guía, decidir mi propia ruta. Puede que sea el único ámbito en el que aún puedo decidir por mí mismo». No sabe cuánto tardará en culminar su travesía pero pide a su entorno «que no me toquen los cojones mientras esté fuera».
El viajero ha partido este mediodía rumbo a Istambul y, desde entonces, se encuentra postrado en su butaca con los ojos cerrados, muy concentrado. «A veces levanta los brazos con energía, como si se estuviera comunicando con gestos. Y balbucea palabras y frases que parecen extranjeras como ‘Malbúe’ o ‘Mailpico mi equipaggio signore'», explica la enfermera Rosalía Alfaro, empleada del centro de mayores. «Parece que se haya vuelto loco, pero se le ve feliz. Yo diría que está teniendo un buen viaje», insiste la mujer.
Mandará postales y cartas relatando sus experiencias
Anatalio se ha comprometido a informar puntualmente a sus allegados mediante correspondencia. Por este motivo, ha dejado en la mesa que hay al lado de su butaca un paquete de folios y sobres. «Me gustaría mandar dibujos y retratos de todo lo que vaya viendo, quizá luego puedo escribir un libro que incluya esas ilustraciones», declaró antes de partir. Sus familiares aseguran que ya han empezado a echarle de menos y algunos compañeros del geriátrico reconocen que sienten envidia. «A mí también me gustaría viajar, pero no me atrevo. Me encantaría ir al Perú, pero me cuesta imaginármelo. Si me perdiera, luego no sabría volver», explica Antonia Losada, que prefiere disfrutar de la seguridad que proporcionan los documentales televisivos.
"
El Mundo Today,https://www.elmundotoday.com/2012/03/ikea-vendera-arcas-de-noe/,2012-03-20,Ikea venderá arcas de Noé,Serán útiles si este 2012 ocurre alguna catástrofe de origen divino,1,"La emblemática marca de muebles IKEA ha amueblado las casas de medio mundo, ha enseñado a sus clientes a apreciar la comida sueca, ha animado a millones de personas a «redecorar sus vidas» e incluso ha anunciado en más de una ocasión que venderá casas prefabricadas. Y ahora planea ir más allá y comercializará arcas de Noé para que, en caso de diluvio universal, cualquier persona que merezca ser salvada de la ira de Yahveh pueda construirse un arca en la que ganarse la salvación junto a su esposa, sus hijos y las esposas de éstos, disponiendo de «soluciones de almacenaje» para poder cobijar una pareja de cada animal.
Anuncio del arca (Génesis, 9).
El arca está disponible en color haya o en roble y mide, tal y como especifica Dios en el capítulo 6, versículo 15, del libro del Génesis, trescientos codos de longitud, cincuenta codos de ancho y treinta codos de altura.
«¿Es una barca, es un dormitorio, una sala de juegos, un salón pequeño, un medio para salvarnos de la ira de Yahveh? ¿O es todo eso a la vez? ¡Y además tiene luces para los peques!» explican en la página web de la tienda de muebles sobre el arca Sodoma. Para los que busquen comodidad y estilo en espacios pequeños hay una versión del arca algo más pequeña. «Se utilizan espacios escondidos y buscamos todos los rincones para guardar una pareja de animales. Hay que ser un poco creativo y un poco rebelde, por eso aconsejamos dar cobijo solo a los animales puros y dejar a los impuros fuera. ¿Quién quiere a alimañas en su arca? Tú no lo necesitas. Porque tu arca, aunque sea pequeña, puede ser tan funcional como tú quieras».

«Yo me he comprado una, no porque crea que vaya a empezar a llover como si no hubiera mañana, sino porque me ha parecido original para ponerla en un terreno que tengo y poder ir allí a hacer barbacoas…», explica Joaquín Matillas, uno de los pocos españoles que ya la ha adquirido. «Las instrucciones son muy deficientes y se limitan a reproducir el libro del Génesis pero protagonizado por ese estúpido muñeco que siempre te dice cómo montar los muebles». Joaquín está esperando pacientemente a que Dios en persona le diga «cómo coño montar esta mierda, que tengo el puto comedor lleno de tablones de dimensiones antediluvianas. Joaquín espera que Yahveh se le aparezca en forma de árbol en llamas para revelarle cómo montar el arca.
"
El Mundo Today,https://www.elmundotoday.com/2012/04/indignados-acampados-en-los-picos-de-europa-denuncian-la-indiferencia-mediatica/,2012-04-26,Indignados acampados en los Picos de Europa denuncian la indiferencia mediática,"LLEVAN UN AÑO ACAMPADOS ""Y NO HA VENIDO NI UN PERIODISTA""",1,"Falta menos de un mes para que se cumpla un año del movimiento de los indignados, que tomó las plazas reclamando un cambio político, social y económico. Aunque ya se ha convocado una nueva acampada en la puerta del Sol de cara al próximo 12 de mayo, hay facciones del movimiento del 15-M que aseguran que «no se trata de hacer nuevas acampadas porque nosotros nunca dejamos de acampar: llevamos un año viviendo en tiendas, organizando talleres y montando asambleas». Son palabras de Flaudio Cabrera, portavoz de un grupo de indignados que acampó hace un año en los Picos de Europa y desde entonces intenta llamar la atención de ciudadanos e instituciones en pleno Parque Nacional. 
«Hemos hecho sentadas, caceroladas e incluso nos hemos encadenado a los árboles. Pero los indignados de ciudad siguen centrando toda la atención de los medios. De vez en cuando pasa un avión y gritamos ‘¡No nos representan!’, pero a saber si nos oyen», lamenta Cabrera.
Empezaron «muy a tope» siendo seis personas y ahora solo quedan cuatro. «Es duro mantener la protesta tanto tiempo y en plena naturaleza. Cortas un camino de tierra para presionar al Gobierno y realmente no tienes una percepción inmediata de los efectos que provoca la acción. Sabemos que es un movimiento de largo recorrido y que hay que ir poco a poco, pero es que no viene nadie. Hemos escrito un manifiesto y se lo hemos leído a un guardabosques que se llama Juanjo. Nos prometió que lo difundiría en las ciudades pero necesitamos más apoyos», insiste el portavoz. 
A veces pasan aviones y gritamos «¡No nos representan!»
Los contactos con otros grupos de indignados son escasos «porque aquí no hay cobertura ni hay nada. Un primo informático nos lleva el Facebook desde Badajoz, pero yo creo que hasta que no abramos una cuenta en Twitter aquí no empezará a venir gente en masa».
«Tomaremos el teleférico de Fuente Dé»
Los acampados en los Picos de Europa amenazan con recrudecer sus acciones de protesta. «Tenemos que llamar más la atención y si es necesario tomaremos una cabina del teleférico de Fuente Dé y la llenaremos de pancartas. Es la única manera de ganar visibilidad, por mucho que obliguemos a parar la circulación del teleférico y perjudiquemos a los ciudadanos. No nos dejan otra opción, queremos que vengan las cámaras de Antena 3».
"
